Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2016-01-04T15:00:00Z,JNJ,75.8669813,38,Market On Close,Filled,2882.9452894,"" 
2016-01-04T15:00:00Z,MSFT,47.77072728,74,Market On Close,Filled,3535.03381872,"" 
2016-01-04T15:00:00Z,NVDA,0.788598182775,4469,Market On Close,Filled,3524.2452788215,"" 
2016-01-04T15:00:00Z,SCHD,9.1017412204925,325,Market On Close,Filled,2958.06589666,"" 
2016-01-04T15:00:00Z,USMV,34.8057402,84,Market On Close,Filled,2923.6821768,"" 
2016-01-11T15:00:00Z,SCHD,8.7770201276312,-325,Market On Close,Filled,-2852.5315414802,"" 
2016-01-11T15:00:00Z,USMV,33.9629862,-84,Market On Close,Filled,-2852.8908408,"" 
2016-01-11T15:00:00Z,AMZN,30.814539098,108,Market On Close,Filled,3327.970222584,"" 
2016-01-11T15:00:00Z,GOOGL,36.33134139245,90,Market On Close,Filled,3269.8207253205,"" 
2016-01-11T15:00:00Z,JNJ,73.62583415,21,Market On Close,Filled,1546.14251715,"" 
2016-01-11T15:00:00Z,XLU,15.637709098,281,Market On Close,Filled,4394.196256538,"" 
2016-01-19T15:00:00Z,AMZN,28.656613496,-108,Market On Close,Filled,-3094.914257568,"" 
2016-01-19T15:00:00Z,JNJ,73.5730125,-59,Market On Close,Filled,-4340.8077375,"" 
2016-01-19T15:00:00Z,NVDA,0.665813664975,-4469,Market On Close,Filled,-2975.5212687733,"" 
2016-01-19T15:00:00Z,DUK,47.533983424,91,Market On Close,Filled,4325.592491584,"" 
2016-01-19T15:00:00Z,GOOGL,35.6379895078,-66,Market On Close,Filled,-2352.1073075148,"" 
2016-01-19T15:00:00Z,LLY,69.867723128,12,Market On Close,Filled,838.412677536,"" 
2016-01-19T15:00:00Z,MSFT,44.074598016,-55,Market On Close,Filled,-2424.10289088,"" 
2016-01-19T15:00:00Z,NFLX,10.789,82,Market On Close,Filled,884.698,"" 
2016-01-25T15:00:00Z,LLY,68.591753656,-12,Market On Close,Filled,-823.101043872,"" 
2016-01-25T15:00:00Z,NFLX,9.912,-82,Market On Close,Filled,-812.784,"" 
2016-01-25T15:00:00Z,AMZN,29.756527031,28,Market On Close,Filled,833.182756868,"" 
2016-01-25T15:00:00Z,DUK,46.65035552,-31,Market On Close,Filled,-1446.16102112,"" 
2016-01-25T15:00:00Z,NVDA,0.69236825315,1232,Market On Close,Filled,852.9976878808,"" 
2016-01-25T15:00:00Z,PG,58.03458395,48,Market On Close,Filled,2785.6600296,"" 
2016-01-25T15:00:00Z,XLU,15.670182421,-101,Market On Close,Filled,-1582.688424521,"" 
2016-02-01T15:00:00Z,AMZN,28.673074787,-28,Market On Close,Filled,-802.846094036,"" 
2016-02-01T15:00:00Z,DUK,50.0289328,-60,Market On Close,Filled,-3001.735968,"" 
2016-02-01T15:00:00Z,GOOGL,38.19977356195,62,Market On Close,Filled,2368.3859608409,"" 
2016-02-01T15:00:00Z,JNJ,78.75708015,36,Market On Close,Filled,2835.2548854,"" 
2016-02-01T15:00:00Z,META,114.088130041,29,Market On Close,Filled,3308.555771189,"" 
2016-02-01T15:00:00Z,MSFT,47.692271706,48,Market On Close,Filled,2289.229041888,"" 
2016-02-01T15:00:00Z,NVDA,0.71380681975,3323,Market On Close,Filled,2371.9800620292,"" 
2016-02-08T15:00:00Z,GOOGL,34.8985463256,-86,Market On Close,Filled,-3001.2749840016,"" 
2016-02-08T15:00:00Z,JNJ,76.96869,-36,Market On Close,Filled,-2770.87284,"" 
2016-02-08T15:00:00Z,META,98.881666275,-29,Market On Close,Filled,-2867.568321975,"" 
2016-02-08T15:00:00Z,MSFT,43.072110126,-67,Market On Close,Filled,-2885.831378442,"" 
2016-02-08T15:00:00Z,NVDA,0.61440982915,-4555,Market On Close,Filled,-2798.6367717783,"" 
2016-02-08T15:00:00Z,DUK,51.45833088,71,Market On Close,Filled,3653.54149248,"" 
2016-02-08T15:00:00Z,PG,62.39189754,12,Market On Close,Filled,748.70277048,"" 
2016-02-08T15:00:00Z,XLU,16.745410227,39,Market On Close,Filled,653.070998853,"" 
2016-02-16T15:00:00Z,DUK,50.078332856,-17,Market On Close,Filled,-851.331658552,"" 
2016-02-16T15:00:00Z,PG,61.52345549,-16,Market On Close,Filled,-984.37528784,"" 
2016-02-16T15:00:00Z,XLU,16.543353995,-54,Market On Close,Filled,-893.34111573,"" 
2016-02-22T15:00:00Z,DUK,49.14597108,-54,Market On Close,Filled,-2653.88243832,"" 
2016-02-22T15:00:00Z,USMV,35.21026212,78,Market On Close,Filled,2746.40044536,"" 
2016-02-29T15:00:00Z,META,105.989250708,15,Market On Close,Filled,1589.83876062,"" 
2016-02-29T15:00:00Z,NVDA,0.7667759904,2117,Market On Close,Filled,1623.2647716768,"" 
2016-03-07T15:00:00Z,AVGO,11.0842947859,97,Market On Close,Filled,1075.1765942323,"" 
2016-03-07T15:00:00Z,META,104.809609777,-5,Market On Close,Filled,-524.048048885,"" 
2016-03-07T15:00:00Z,NVDA,0.7907377401,-736,Market On Close,Filled,-581.9829767136,"" 
2016-03-14T14:00:00Z,NVDA,0.7897597095,-1381,Market On Close,Filled,-1090.6581588195,"" 
2016-03-14T14:00:00Z,AVGO,11.4419025126,46,Market On Close,Filled,526.3275155796,"" 
2016-03-14T14:00:00Z,META,108.933396561,5,Market On Close,Filled,544.666982805,"" 
2016-03-21T14:00:00Z,USMV,36.77778456,-78,Market On Close,Filled,-2868.66719568,"" 
2016-03-21T14:00:00Z,AVGO,11.8478803076,-50,Market On Close,Filled,-592.39401538,"" 
2016-03-21T14:00:00Z,DUK,52.212259456,53,Market On Close,Filled,2767.249751168,"" 
2016-03-21T14:00:00Z,META,110.876334565,-5,Market On Close,Filled,-554.381672825,"" 
2016-03-21T14:00:00Z,NVDA,0.82912544115,1342,Market On Close,Filled,1112.6863420233,"" 
2016-03-28T14:00:00Z,DUK,52.179429816,-53,Market On Close,Filled,-2765.509780248,"" 
2016-03-28T14:00:00Z,JNJ,82.261683428,33,Market On Close,Filled,2714.635553124,"" 
2016-03-28T14:00:00Z,XLU,17.715484501,-9,Market On Close,Filled,-159.439360509,"" 
2016-04-04T14:00:00Z,AVGO,12.0896579684,-25,Market On Close,Filled,-302.24144921,"" 
2016-04-04T14:00:00Z,META,111.570240995,-3,Market On Close,Filled,-334.710722985,"" 
2016-04-04T14:00:00Z,MSFT,48.666847125,17,Market On Close,Filled,827.336401125,"" 
2016-04-04T14:00:00Z,NVDA,0.875337387,-392,Market On Close,Filled,-343.132255704,"" 
2016-04-25T14:00:00Z,XLU,17.246513128,-156,Market On Close,Filled,-2690.456047968,"" 
2016-04-25T14:00:00Z,USMV,37.24386927,74,Market On Close,Filled,2756.04632598,"" 
2016-05-02T14:00:00Z,MSFT,44.434947375,-17,Market On Close,Filled,-755.394105375,"" 
2016-05-02T14:00:00Z,PG,61.646379948,-44,Market On Close,Filled,-2712.440717712,"" 
2016-05-02T14:00:00Z,AMZN,34.112284395,25,Market On Close,Filled,852.807109875,"" 
2016-05-02T14:00:00Z,XLU,17.744567997,157,Market On Close,Filled,2785.897175529,"" 
2016-05-09T14:00:00Z,XLU,17.853631107,-157,Market On Close,Filled,-2803.020083799,"" 
2016-05-09T14:00:00Z,DUK,52.566819568,53,Market On Close,Filled,2786.041437104,"" 
2016-05-23T14:00:00Z,DUK,50.523781165,-53,Market On Close,Filled,-2677.760401745,"" 
2016-05-23T14:00:00Z,NVDA,1.085613966,-178,Market On Close,Filled,-193.239285948,"" 
2016-05-23T14:00:00Z,XLU,17.399201482,158,Market On Close,Filled,2749.073834156,"" 
2016-06-20T14:00:00Z,XLU,18.453415704,-158,Market On Close,Filled,-2915.639681232,"" 
2016-06-20T14:00:00Z,SCHD,9.9116343555031,287,Market On Close,Filled,2844.6390600294,"" 
2016-06-27T14:00:00Z,AVGO,11.1654112716,-68,Market On Close,Filled,-759.2479664688,"" 
2016-06-27T14:00:00Z,META,108.021405253,-7,Market On Close,Filled,-756.149836771,"" 
2016-06-27T14:00:00Z,SCHD,9.6182616165071,-287,Market On Close,Filled,-2760.4410839375,"" 
2016-06-27T14:00:00Z,AMZN,34.486903472,39,Market On Close,Filled,1344.989235408,"" 
2016-06-27T14:00:00Z,NVDA,1.1090251224,1234,Market On Close,Filled,1368.5370010416,"" 
2016-06-27T14:00:00Z,XLU,18.71368438,151,Market On Close,Filled,2825.76634138,"" 
2016-07-05T14:00:00Z,AMZN,36.31959387,-22,Market On Close,Filled,-799.03106514,"" 
2016-07-05T14:00:00Z,JNJ,93.596486754,-3,Market On Close,Filled,-280.789460262,"" 
2016-07-05T14:00:00Z,META,113.0076186,13,Market On Close,Filled,1469.0990418,"" 
2016-07-05T14:00:00Z,NVDA,1.160750211,-677,Market On Close,Filled,-785.827892847,"" 
2016-07-11T14:00:00Z,XLU,19.245219,-151,Market On Close,Filled,-2906.028069,"" 
2016-07-11T14:00:00Z,AMZN,37.600581606,45,Market On Close,Filled,1692.02617227,"" 
2016-07-11T14:00:00Z,AVGO,12.2327446752,268,Market On Close,Filled,3278.3755729536,"" 
2016-07-11T14:00:00Z,META,116.843929863,14,Market On Close,Filled,1635.815018082,"" 
2016-07-11T14:00:00Z,NVDA,1.2752318052,1271,Market On Close,Filled,1620.8196244092,"" 
2016-07-11T14:00:00Z,SCHD,10.221979071135,283,Market On Close,Filled,2892.8200771313,"" 
2016-07-25T14:00:00Z,SCHD,10.386849701315,-283,Market On Close,Filled,-2939.4784654721,"" 
2016-07-25T14:00:00Z,NVDA,1.3649539968,-145,Market On Close,Filled,-197.918329536,"" 
2016-07-25T14:00:00Z,XLU,19.307536852,151,Market On Close,Filled,2915.438064652,"" 
2016-08-01T14:00:00Z,XLU,19.120583296,-151,Market On Close,Filled,-2887.208077696,"" 
2016-08-01T14:00:00Z,AMZN,38.296944098,6,Market On Close,Filled,229.781664588,"" 
2016-08-01T14:00:00Z,AVGO,12.7108291932,13,Market On Close,Filled,165.2407795116,"" 
2016-08-01T14:00:00Z,COST,141.394098496,25,Market On Close,Filled,3534.8524624,"" 
2016-08-01T14:00:00Z,META,123.227869019,1,Market On Close,Filled,123.227869019,"" 
2016-08-08T14:00:00Z,AMZN,38.238082512,-9,Market On Close,Filled,-344.142742608,"" 
2016-08-08T14:00:00Z,AVGO,13.087077822,-37,Market On Close,Filled,-484.221879414,"" 
2016-08-08T14:00:00Z,COST,141.25908384,-3,Market On Close,Filled,-423.77725152,"" 
2016-08-08T14:00:00Z,META,124.169599174,-2,Market On Close,Filled,-248.339198348,"" 
2016-08-08T14:00:00Z,MSFT,51.33250071,63,Market On Close,Filled,3233.94754473,"" 
2016-08-08T14:00:00Z,NVDA,1.4399676324,-193,Market On Close,Filled,-277.9137530532,"" 
2016-08-22T14:00:00Z,USMV,39.495249138,-74,Market On Close,Filled,-2922.648436212,"" 
2016-08-22T14:00:00Z,JNJ,91.801196784,2,Market On Close,Filled,183.602393568,"" 
2016-08-22T14:00:00Z,NVDA,1.5326315352,-137,Market On Close,Filled,-209.9705203224,"" 
2016-08-22T14:00:00Z,SCHD,10.335933771407,289,Market On Close,Filled,2987.0848599365,"" 
2016-09-06T14:00:00Z,COST,133.736114988,-22,Market On Close,Filled,-2942.194529736,"" 
2016-09-06T14:00:00Z,MSFT,51.25210279,-63,Market On Close,Filled,-3228.88247577,"" 
2016-09-06T14:00:00Z,USMV,39.54633159,75,Market On Close,Filled,2965.97486925,"" 
2016-09-12T14:00:00Z,USMV,38.788608552,-75,Market On Close,Filled,-2909.1456414,"" 
2016-09-12T14:00:00Z,AVGO,12.7862343936,19,Market On Close,Filled,242.9384534784,"" 
2016-09-12T14:00:00Z,NVDA,1.49198567625,125,Market On Close,Filled,186.49820953125,"" 
2016-09-12T14:00:00Z,PG,67.715504625,44,Market On Close,Filled,2979.4822035,"" 
2016-10-24T14:00:00Z,JNJ,87.547502448,-32,Market On Close,Filled,-2801.520078336,"" 
2016-10-24T14:00:00Z,NVDA,1.73659764885,-208,Market On Close,Filled,-361.2123109608,"" 
2016-10-24T14:00:00Z,USMV,37.99054483,79,Market On Close,Filled,3001.25304157,"" 
2016-10-31T14:00:00Z,USMV,37.810778845,-79,Market On Close,Filled,-2987.051528755,"" 
2016-10-31T14:00:00Z,VIG,68.717631147,43,Market On Close,Filled,2954.858139321,"" 
2016-11-07T15:00:00Z,AMZN,39.154427711,-84,Market On Close,Filled,-3288.971927724,"" 
2016-11-07T15:00:00Z,AVGO,13.7978844192,-263,Market On Close,Filled,-3628.8436022496,"" 
2016-11-07T15:00:00Z,META,121.086672035,-26,Market On Close,Filled,-3148.25347291,"" 
2016-11-07T15:00:00Z,MSFT,53.75198838,67,Market On Close,Filled,3601.38322146,"" 
2016-11-07T15:00:00Z,NFLX,12.458,290,Market On Close,Filled,3612.82,"" 
2016-11-07T15:00:00Z,NVDA,1.75035093245,91,Market On Close,Filled,159.28193485295,"" 
2016-11-14T15:00:00Z,PG,64.1788121,-44,Market On Close,Filled,-2823.8677324,"" 
2016-11-14T15:00:00Z,JNJ,89.85158688,33,Market On Close,Filled,2965.10236704,"" 
2016-11-14T15:00:00Z,MSFT,51.70581868,2,Market On Close,Filled,103.41163736,"" 
2016-11-14T15:00:00Z,NFLX,11.338,29,Market On Close,Filled,328.802,"" 
2016-11-14T15:00:00Z,NVDA,2.0541511434,-436,Market On Close,Filled,-895.6098985224,"" 
2016-11-21T15:00:00Z,AAPL,25.67197584675,137,Market On Close,Filled,3517.0606910047,"" 
2016-11-21T15:00:00Z,MSFT,54.50919814,-5,Market On Close,Filled,-272.5459907,"" 
2016-11-21T15:00:00Z,NFLX,11.796,-18,Market On Close,Filled,-212.328,"" 
2016-11-21T15:00:00Z,NVDA,2.2835362663,-182,Market On Close,Filled,-415.6036004666,"" 
2016-12-05T15:00:00Z,JNJ,86.856697486,-33,Market On Close,Filled,-2866.271017038,"" 
2016-12-05T15:00:00Z,NFLX,11.916,-16,Market On Close,Filled,-190.656,"" 
2016-12-05T15:00:00Z,NVDA,2.2598993154,72,Market On Close,Filled,162.7127507088,"" 
2016-12-05T15:00:00Z,SCHD,10.498038859529,151,Market On Close,Filled,1585.2038677889,"" 
2016-12-05T15:00:00Z,VIG,71.005157685,22,Market On Close,Filled,1562.11346907,"" 
2016-12-12T15:00:00Z,SCHD,10.793174245682,-148,Market On Close,Filled,-1597.389788361,"" 
2016-12-12T15:00:00Z,USMV,38.96641732,80,Market On Close,Filled,3117.3133856,"" 
2016-12-12T15:00:00Z,VIG,72.482866434,-22,Market On Close,Filled,-1594.623061548,"" 
2017-01-09T15:00:00Z,USMV,39.18139056,-80,Market On Close,Filled,-3134.5112448,"" 
2017-01-09T15:00:00Z,AAPL,27.34009134525,-8,Market On Close,Filled,-218.720730762,"" 
2017-01-09T15:00:00Z,AVGO,13.8775485144,252,Market On Close,Filled,3497.1422256288,"" 
2017-01-09T15:00:00Z,GOOGL,40.9954833413,85,Market On Close,Filled,3484.6160840105,"" 
2017-01-09T15:00:00Z,NFLX,13.095,-19,Market On Close,Filled,-248.805,"" 
2017-01-09T15:00:00Z,NVDA,2.6386808724,-208,Market On Close,Filled,-548.8456214592,"" 
2017-02-21T15:00:00Z,SCHD,11.009821716018,-292,Market On Close,Filled,-3214.8679410772,"" 
2017-02-21T15:00:00Z,AAPL,31.545459305,-11,Market On Close,Filled,-347.000052355,"" 
2017-02-21T15:00:00Z,AVGO,16.68332738,-27,Market On Close,Filled,-450.44983926,"" 
2017-02-21T15:00:00Z,PG,71.444554556,48,Market On Close,Filled,3429.338618688,"" 
2017-02-21T15:00:00Z,VIG,75.862825972,2,Market On Close,Filled,151.725651944,"" 
2017-02-27T15:00:00Z,GOOGL,42.11009977345,-85,Market On Close,Filled,-3579.3584807432,"" 
2017-02-27T15:00:00Z,PG,70.836648452,-48,Market On Close,Filled,-3400.159125696,"" 
2017-02-27T15:00:00Z,NVDA,2.57133065045,104,Market On Close,Filled,267.4183876468,"" 
2017-02-27T15:00:00Z,SCHD,11.078740787792,308,Market On Close,Filled,3412.2521626401,"" 
2017-02-27T15:00:00Z,TSLA,16.4153316918,216,Market On Close,Filled,3545.7116454288,"" 
2017-03-06T15:00:00Z,SCHD,11.086124974054,-308,Market On Close,Filled,-3414.5264920087,"" 
2017-03-06T15:00:00Z,USMV,41.284857952,82,Market On Close,Filled,3385.358352064,"" 
2017-03-27T14:00:00Z,USMV,41.23268178,-82,Market On Close,Filled,-3381.07990596,"" 
2017-03-27T14:00:00Z,SCHD,10.994057560594,317,Market On Close,Filled,3485.1162467083,"" 
2017-04-10T14:00:00Z,NVDA,2.40780574365,-1483,Market On Close,Filled,-3570.775917833,"" 
2017-04-10T14:00:00Z,SCHD,11.028770417123,-317,Market On Close,Filled,-3496.1202222279,"" 
2017-04-10T14:00:00Z,META,139.812232696,27,Market On Close,Filled,3774.930282792,"" 
2017-04-10T14:00:00Z,TSLA,20.8259979174,-27,Market On Close,Filled,-562.3019437698,"" 
2017-04-10T14:00:00Z,USMV,41.31926868,85,Market On Close,Filled,3512.1378378,"" 
2017-05-15T14:00:00Z,VIG,77.31478064,-45,Market On Close,Filled,-3479.1651288,"" 
2017-05-15T14:00:00Z,AAPL,36.078282405,-7,Market On Close,Filled,-252.547976835,"" 
2017-05-15T14:00:00Z,NFLX,16.002,-16,Market On Close,Filled,-256.032,"" 
2017-05-15T14:00:00Z,XLU,19.54490953,190,Market On Close,Filled,3713.5328107,"" 
2017-05-22T14:00:00Z,MSFT,62.03238811,-64,Market On Close,Filled,-3970.07283904,"" 
2017-05-22T14:00:00Z,AMZN,48.419640409,83,Market On Close,Filled,4018.830153947,"" 
2017-06-12T14:00:00Z,XLU,20.154394678,-190,Market On Close,Filled,-3829.33498882,"" 
2017-06-12T14:00:00Z,AAPL,33.696235243,7,Market On Close,Filled,235.873646701,"" 
2017-06-12T14:00:00Z,AVGO,19.1158827372,-12,Market On Close,Filled,-229.3905928464,"" 
2017-06-12T14:00:00Z,DUK,59.303674122,63,Market On Close,Filled,3736.131469686,"" 
2017-06-12T14:00:00Z,TSLA,23.9339976066,-18,Market On Close,Filled,-430.8119569188,"" 
2017-06-19T14:00:00Z,AAPL,33.909414561,-118,Market On Close,Filled,-4001.310918198,"" 
2017-06-19T14:00:00Z,NFLX,15.34,17,Market On Close,Filled,260.78,"" 
2017-06-19T14:00:00Z,NVDA,3.8784386709,1089,Market On Close,Filled,4223.6197126101,"" 
2017-07-03T14:00:00Z,DUK,57.703680111,-63,Market On Close,Filled,-3635.331846993,"" 
2017-07-03T14:00:00Z,VIG,78.875757936,46,Market On Close,Filled,3628.284865056,"" 
2017-07-10T14:00:00Z,TSLA,21.069997893,-171,Market On Close,Filled,-3602.969639703,"" 
2017-07-10T14:00:00Z,USMV,42.44153292,-85,Market On Close,Filled,-3607.5302982,"" 
2017-07-10T14:00:00Z,GOOGL,47.132068785,84,Market On Close,Filled,3959.09377794,"" 
2017-07-10T14:00:00Z,XLV,68.250891435,53,Market On Close,Filled,3617.297246055,"" 
2017-07-24T14:00:00Z,VIG,79.31735348,-46,Market On Close,Filled,-3648.59826008,"" 
2017-07-24T14:00:00Z,NFLX,18.791,-42,Market On Close,Filled,-789.222,"" 
2017-07-24T14:00:00Z,NVDA,4.096126272375,-65,Market On Close,Filled,-266.24820770437,"" 
2017-07-24T14:00:00Z,USMV,43.14657069,90,Market On Close,Filled,3883.1913621,"" 
2017-07-24T14:00:00Z,XLV,69.88228368,3,Market On Close,Filled,209.64685104,"" 
2017-08-07T14:00:00Z,GOOGL,46.87187597625,-84,Market On Close,Filled,-3937.237582005,"" 
2017-08-07T14:00:00Z,META,170.482896902,-3,Market On Close,Filled,-511.448690706,"" 
2017-08-07T14:00:00Z,TSLA,23.6779976322,175,Market On Close,Filled,4143.649585635,"" 
2017-08-14T14:00:00Z,AMZN,49.04965891,-83,Market On Close,Filled,-4071.12168953,"" 
2017-08-14T14:00:00Z,XLV,68.302681665,-56,Market On Close,Filled,-3824.95017324,"" 
2017-08-14T14:00:00Z,AAPL,37.18536201,112,Market On Close,Filled,4164.76054512,"" 
2017-08-14T14:00:00Z,JNJ,104.946741236,36,Market On Close,Filled,3778.082684496,"" 
2017-08-14T14:00:00Z,NFLX,17.1,14,Market On Close,Filled,239.4,"" 
2017-08-21T14:00:00Z,AVGO,19.7470912282,-213,Market On Close,Filled,-4206.1304316066,"" 
2017-08-21T14:00:00Z,NFLX,16.676,-239,Market On Close,Filled,-3985.564,"" 
2017-08-21T14:00:00Z,META,166.319458322,1,Market On Close,Filled,166.319458322,"" 
2017-08-21T14:00:00Z,NVDA,3.923553994875,46,Market On Close,Filled,180.48348376425,"" 
2017-08-21T14:00:00Z,TSLA,22.5239977476,9,Market On Close,Filled,202.7159797284,"" 
2017-08-21T14:00:00Z,VIG,78.264317952,48,Market On Close,Filled,3756.687261696,"" 
2017-08-28T14:00:00Z,JNJ,104.237575554,-36,Market On Close,Filled,-3752.552719944,"" 
2017-08-28T14:00:00Z,VIG,78.162411288,-48,Market On Close,Filled,-3751.795741824,"" 
2017-08-28T14:00:00Z,AVGO,19.2431693825,212,Market On Close,Filled,4079.55190909,"" 
2017-08-28T14:00:00Z,MSFT,66.353388326,62,Market On Close,Filled,4113.910076212,"" 
2017-08-28T14:00:00Z,NVDA,4.0706166033,-51,Market On Close,Filled,-207.6014467683,"" 
2017-08-28T14:00:00Z,XLU,20.952473998,181,Market On Close,Filled,3792.397793638,"" 
2017-09-05T14:00:00Z,AVGO,19.7019993205,-212,Market On Close,Filled,-4176.823855946,"" 
2017-09-05T14:00:00Z,XLU,20.838684313,-181,Market On Close,Filled,-3771.801860653,"" 
2017-09-05T14:00:00Z,NFLX,17.452,240,Market On Close,Filled,4188.48,"" 
2017-09-05T14:00:00Z,XLV,69.81323004,55,Market On Close,Filled,3839.7276522,"" 
2017-09-11T14:00:00Z,TSLA,24.2459975754,-184,Market On Close,Filled,-4461.2635538736,"" 
2017-09-11T14:00:00Z,XLV,71.79852219,-55,Market On Close,Filled,-3948.91872045,"" 
2017-09-11T14:00:00Z,AVGO,19.5983670414,215,Market On Close,Filled,4213.648913901,"" 
2017-09-11T14:00:00Z,DUK,61.820870874,62,Market On Close,Filled,3832.893994188,"" 
2017-09-18T14:00:00Z,DUK,60.225312966,-62,Market On Close,Filled,-3733.969403892,"" 
2017-09-18T14:00:00Z,NVDA,4.6277756195,-61,Market On Close,Filled,-282.2943127895,"" 
2017-09-18T14:00:00Z,XLV,71.530027692,54,Market On Close,Filled,3862.621495368,"" 
2017-09-25T14:00:00Z,AVGO,18.7070279649,-215,Market On Close,Filled,-4022.0110124535,"" 
2017-09-25T14:00:00Z,XLV,70.464484104,-54,Market On Close,Filled,-3805.082141616,"" 
2017-09-25T14:00:00Z,AAPL,35.02193463,7,Market On Close,Filled,245.15354241,"" 
2017-09-25T14:00:00Z,LLY,74.394277216,57,Market On Close,Filled,4240.473801312,"" 
2017-09-25T14:00:00Z,NFLX,17.855,-16,Market On Close,Filled,-285.68,"" 
2017-09-25T14:00:00Z,SCHD,11.752919400708,330,Market On Close,Filled,3878.4634022336,"" 
2017-10-09T14:00:00Z,USMV,44.12143773,-90,Market On Close,Filled,-3970.9293957,"" 
2017-10-09T14:00:00Z,XLV,71.356768572,54,Market On Close,Filled,3853.265502888,"" 
2017-10-16T14:00:00Z,XLV,71.088216936,-54,Market On Close,Filled,-3838.763714544,"" 
2017-10-16T14:00:00Z,NVDA,4.8839009777,-56,Market On Close,Filled,-273.4984547512,"" 
2017-10-16T14:00:00Z,USMV,44.37385866,90,Market On Close,Filled,3993.6472794,"" 
2017-10-23T14:00:00Z,USMV,44.8264755,-90,Market On Close,Filled,-4034.382795,"" 
2017-10-23T14:00:00Z,XLV,72.482952852,55,Market On Close,Filled,3986.56240686,"" 
2017-10-30T14:00:00Z,XLV,70.395180456,-55,Market On Close,Filled,-3871.73492508,"" 
2017-10-30T14:00:00Z,JNJ,110.773194,36,Market On Close,Filled,3987.834984,"" 
2017-10-30T14:00:00Z,LLY,72.64516791,2,Market On Close,Filled,145.29033582,"" 
2017-10-30T14:00:00Z,MSFT,76.429846858,-5,Market On Close,Filled,-382.14923429,"" 
2017-11-13T15:00:00Z,JNJ,110.583297096,-36,Market On Close,Filled,-3980.998695456,"" 
2017-11-13T15:00:00Z,AAPL,40.6155320145,-10,Market On Close,Filled,-406.155320145,"" 
2017-11-13T15:00:00Z,NVDA,5.2466218607,-68,Market On Close,Filled,-356.7702865276,"" 
2017-11-13T15:00:00Z,USMV,45.04407975,91,Market On Close,Filled,4099.01125725,"" 
2017-11-20T15:00:00Z,LLY,73.572726636,-59,Market On Close,Filled,-4340.790871524,"" 
2017-11-20T15:00:00Z,USMV,44.99185473,-91,Market On Close,Filled,-4094.25878043,"" 
2017-11-20T15:00:00Z,AMZN,56.183383837,78,Market On Close,Filled,4382.303939286,"" 
2017-11-20T15:00:00Z,XLV,70.08331404,58,Market On Close,Filled,4064.83221432,"" 
2017-11-27T15:00:00Z,XLV,70.897631904,-58,Market On Close,Filled,-4112.062650432,"" 
2017-11-27T15:00:00Z,VIG,83.90151952,49,Market On Close,Filled,4111.17445648,"" 
2017-12-04T15:00:00Z,NFLX,18.404,-224,Market On Close,Filled,-4122.496,"" 
2017-12-04T15:00:00Z,AVGO,20.9390668839,205,Market On Close,Filled,4292.5087111995,"" 
2017-12-04T15:00:00Z,NVDA,4.60901478645,73,Market On Close,Filled,336.45807941085,"" 
2017-12-11T15:00:00Z,AVGO,20.6483458005,-205,Market On Close,Filled,-4232.9108891025,"" 
2017-12-11T15:00:00Z,GOOGL,52.13619600395,84,Market On Close,Filled,4379.4404643318,"" 
2017-12-18T15:00:00Z,NVDA,4.88655323175,-907,Market On Close,Filled,-4432.1037811973,"" 
2017-12-18T15:00:00Z,COST,171.818850263,25,Market On Close,Filled,4295.471256575,"" 
2018-01-02T15:00:00Z,META,179.840720758,-25,Market On Close,Filled,-4496.01801895,"" 
2018-01-02T15:00:00Z,COST,168.253995536,1,Market On Close,Filled,168.253995536,"" 
2018-01-02T15:00:00Z,NFLX,20.107,230,Market On Close,Filled,4624.61,"" 
2018-02-05T15:00:00Z,AAPL,36.5346013965,-109,Market On Close,Filled,-3982.2715522185,"" 
2018-02-05T15:00:00Z,GOOGL,52.65261677865,-84,Market On Close,Filled,-4422.8198094066,"" 
2018-02-05T15:00:00Z,AMZN,69.336953,-9,Market On Close,Filled,-624.032577,"" 
2018-02-05T15:00:00Z,COST,163.295363021,3,Market On Close,Filled,489.886089063,"" 
2018-02-05T15:00:00Z,NFLX,25.426,-44,Market On Close,Filled,-1118.744,"" 
2018-02-05T15:00:00Z,USMV,44.93962971,94,Market On Close,Filled,4224.32519274,"" 
2018-02-12T15:00:00Z,AMZN,69.148895221,-51,Market On Close,Filled,-3526.593656271,"" 
2018-02-12T15:00:00Z,COST,161.767568138,-22,Market On Close,Filled,-3558.886499036,"" 
2018-02-12T15:00:00Z,MSFT,81.611679501,-42,Market On Close,Filled,-3427.690539042,"" 
2018-02-12T15:00:00Z,NFLX,25.795,-136,Market On Close,Filled,-3508.12,"" 
2018-02-26T15:00:00Z,AMZN,75.918975265,47,Market On Close,Filled,3568.191837455,"" 
2018-02-26T15:00:00Z,COST,172.726544061,21,Market On Close,Filled,3627.257425281,"" 
2018-02-26T15:00:00Z,MSFT,87.781524038,41,Market On Close,Filled,3599.042485558,"" 
2018-02-26T15:00:00Z,NFLX,29.416,121,Market On Close,Filled,3559.336,"" 
2018-03-05T15:00:00Z,AMZN,76.001780547,-48,Market On Close,Filled,-3648.085466256,"" 
2018-03-05T15:00:00Z,COST,171.535079388,-21,Market On Close,Filled,-3602.236667148,"" 
